geocode,intensity_pre_kgco2_ton,intensity_pos_kgco2_ton,delta_intensity_kgco2_ton,delta_relativo_pct,termo_escala_tco2e,termo_intensidade_tco2e,termo_interacao_tco2e
3552551,21.5180461954448,20.199956844254647,-1.318089351190153,-6.125506652500738,3146.7545206095933,-922.6625458331072,-192.75465749780835
3553401,20.80196844181044,19.792380179975066,-1.0095882618353755,-4.85333041754922,10429.840431840836,-2423.0118284049013,-506.1946181803782
3553955,22.437718542738576,21.152920161201312,-1.2847983815372643,-5.7260651482459135,8546.23828050983,-2342.4444092187405,-489.3631716663242
3555356,19.120165851006337,18.211001919318573,-0.9091639316877647,-4.755000237824366,5068.918008420294,-1153.7290293117733,-241.02706335550715
3556305,17.704224356388586,17.008730383759367,-0.6954939726292189,-3.928406908028417,15689.51641702598,-2950.2854318931463,-616.3480467627013
3556909,20.04454038291413,19.162663667310884,-0.8818767156032443,-4.3995856166148455,1884.3891953199661,-396.8445220214599,-82.90531599834146
4102109,183.3948126668781,157.3972909195141,-25.997521747364004,-14.175712698366452,7126.265209263609,-4835.539045009705,-1010.198882188852
4102406,131.61923178025276,119.58877304055623,-12.030458739696527,-9.140350218562432,10717.132682173691,-4688.991598384118,-979.5834605386889
4105607,76.42141583850125,71.2798373474481,-5.141578491053153,-6.727928859521098,6018.007870549889,-1938.0820211530486,-404.8872882909771
4105904,62.284190667065296,58.69037371110438,-3.593816955960918,-5.770030753343739,15926.532513954955,-4398.831954096163,-918.9658239964904
4108007,104.05114159863773,95.29711664317207,-8.754024955465653,-8.413194532005273,7965.866902114754,-3207.982477130032,-670.1838786355362
4111555,77.22052360314663,72.56887041026772,-4.651653192878911,-6.023856062909889,11839.968719233448,-3413.9971311560043,-713.2226735401784
4111803,116.26255492132486,109.17860399712474,-7.083950924200124,-6.093063178418752,25371.227486159052,-7399.718036646344,-1545.8849198720147
4113007,86.75880494984499,78.16960980647264,-8.58919514337235,-9.900084663842176,6586.587618655862,-3121.3135151015126,-652.0777507050766
4115200,363.7233657121596,308.4164318072173,-55.3069339049423,-15.205768756882845,7080.521046461916,-5153.610715130333,-1076.6476571074204
4117107,59.06988924981316,55.104170217853444,-3.965719031959715,-6.713604989486685,4665.461603002501,-1499.2995658178495,-313.2206629617613
4118105,56.15186412888713,52.93584114495825,-3.216022983928873,-5.727366372997048,14478.104596444033,-3969.215566765015,-829.2140941040755
4122602,66.18074840135941,62.32007455367341,-3.8606738476860016,-5.833530053592897,13342.913748042258,-3725.8050674909387,-778.3628835170234
4124509,64.69024915590924,60.69203557536325,-3.9982135805459933,-6.180550597215886,11055.341632978754,-3270.6746481483615,-683.2809833213248
4124608,63.824837003785916,59.825913780239546,-3.9989232235463703,-6.265465626350389,10018.259116765033,-3004.5789672418946,-627.6905813196273
4125803,92.07498518763471,84.7472518301438,-7.327733357490914,-7.958440984332624,8862.221443280285,-3376.0479679299287,-705.2946634643323
4126801,65.03777380299215,61.18467625942088,-3.853097543571266,-5.924399496272425,17119.7808741062,-4854.902904899795,-1014.2442118684907
4127304,64.58248608132074,60.0350177694168,-4.547468311903941,-7.041333630572655,9106.164277009819,-3069.222787753327,-641.1954076922857
5000856,35.94408155281354,34.02519399691017,-1.9188875559033747,-5.338535505724092,25754.95736485633,-6581.440835876068,-1374.9375434069573
