geocode,delta_queima,delta_cana_dir,delta_fert_n,delta_calagem,delta_res_outros,balanco_liquido_total,balanco_so_robustos
3519303,102.0486725652351,2757.978992992437,1595.799481894211,144.01859053968366,-11.639773582709388,4588.205964408857,4486.157291843622
3520103,156.03977763282302,4185.03809755312,2390.4584087525714,245.25793472287305,-77.08749653521578,6899.706722126171,6743.666944493349
3520905,98.6096044168106,2618.86949515477,1474.0215886231235,156.3201002133712,-45.64977339750932,4302.171015010566,4203.561410593756
3521408,54.35583653978579,1448.240958162952,818.7017733636511,70.0025695108678,-6.274885176684784,2385.026252400572,2330.6704158607863
3521804,123.00720846991712,3242.3023492407674,1904.662458176247,597.2384408453489,-807.890187853651,5059.32026887863,4936.313060408713
3522307,68.81760077131221,1791.431300128272,1103.611381820946,652.4328385919024,-1130.3694421098735,2485.9236792025595,2417.1060784312467
3522703,185.02418157819528,4904.046543158633,2782.5077005786598,494.2235387336676,-338.38132638572597,8027.420637663428,7842.396456085235
3524303,363.8013685920346,9696.809176017447,5503.57530348796,557.2214482562473,-383.4597040264002,15737.947592327288,15374.146223735253
3526001,131.49395090011592,3497.4312753038416,1942.2052986540984,212.42234996846275,-116.83651172821243,5666.716363098306,5535.22241219819
3526704,134.7602351914711,3586.376363345402,2064.6123455716424,246.75757827561264,-184.1151695259028,5848.391352858225,5713.631117666754
3526803,222.21731354372292,5925.75480092556,3345.2155954204172,306.6982573541219,-58.51014865453813,9741.375818589286,9519.158505045561
3527405,43.448748107138506,1156.3876498395884,652.5427392067353,62.33575088938779,-57.49344385215541,1857.2214441906945,1813.7726960835562
3527603,193.50103662455456,5295.664297701808,3012.6362398934866,276.00283903064366,-36.79380395475819,8741.010609295734,8547.509572671179
3528007,91.21671013086717,2427.541227073005,1372.7835232755558,113.71296173630301,-19.16396658044405,3986.0904556352866,3894.8737455044197
3528809,103.46496669221685,2758.5675736005132,1686.8987437334654,698.1342156880154,-917.4793720615979,4329.586127652613,4226.121160960396
3528858,30.585359875903986,813.9818559307096,459.2551254067829,45.536116562264986,-12.71183677064475,1336.6466210050169,1306.0612611291128
3529203,175.28647999639261,4333.142887603989,2319.8373437758055,301.1045145877035,-526.6400118251073,6602.731214138783,6427.44473414239
3529500,46.79785087702782,1254.6515616671957,716.5043451357828,73.74780573024611,-62.57135560511888,2029.1302078051333,1982.3323569281058
3529609,34.048375172360366,905.2433120438416,511.69818315269623,56.875927693757575,-36.48291886278021,1471.3828791998756,1437.334504027515
3530102,145.06862680441932,3811.905691225937,2139.83386801877,210.31786499741585,-185.41465830725102,6121.711392739291,5976.642765934872
3530201,113.77999485610968,3017.0256859554215,1723.924293339536,186.70649285761428,-356.71551929268423,4684.720947715998,4570.940952859888
3530508,126.53787773103195,3367.5399445748803,1941.1743892487304,264.62149366376923,-251.84990103162167,5448.02380418679,5321.485926455758
3531407,103.34820043867751,2764.8034968722313,1560.0802655150694,183.81076109653625,-139.815710558847,4472.2270133636675,4368.87881292499
3531902,597.8517742694368,15949.360628643433,9050.735207014446,969.2069672252026,-374.5222951412598,26192.63228201126,25594.78050774182
3532207,134.0515646930506,3518.3125200242207,1930.7035401068092,171.70727480587024,-37.17032198075952,5717.604577649191,5583.55301295614
3532900,46.76779111628368,1236.5983396799725,702.069331706848,81.33801038415018,-36.558180443814585,2030.2152924434397,1983.4475013271563
3533205,49.344714121791824,1315.7818579403818,748.8120023402436,75.36154364258272,-30.04607367282004,2159.2540443721796,2109.909330250388
3533502,267.6884229639942,7135.676785444279,4045.7905173345525,364.7793859248257,-180.70071821837465,11633.234393449275,11365.54597048528
3533908,261.13866659008386,6976.789736006893,3950.4092332954488,403.09481451551284,-101.1400184939921,11490.292431913946,11229.153765323863
3534005,49.73130101551416,1328.4505113813818,758.1278670977977,87.11024586844343,-35.70438113601819,2187.715544227119,2137.9842432116047
3534203,67.3554834393585,1845.0179540707595,1085.3123791621217,127.96078321883783,-33.42712115353572,3092.2194787375415,3024.8639952981835
3534708,100.64405506360724,2679.913228363472,1529.2351775018267,212.33733994038974,-115.68507138571437,4406.444729483581,4305.800674419974
