treatment,snapshot,outcome,spec,ATT_mean,SE_mean,CI_lo,CI_hi,dose_slope,n_strata,n_munis,time_s
T3,2022,log1p_residuos_florestais,RICH,0.19022903788388928,0.18578311493516075,-0.1739058673890258,0.5543639431568044,-0.04570004921567378,5,842,31.65237069129944
T3,2025,asinh_luc,LEAN,-0.0013784563635888928,0.07931192139169305,-0.15682982229130724,0.15407290956412947,-0.022757616662280673,5,842,13.692783117294312
T3,2025,asinh_luc,FULL,0.022199023090395335,0.07687423221562988,-0.12847447205223922,0.1728725182330299,-0.0070900986419038005,5,842,19.22395658493042
T3,2025,asinh_luc,FULL2,-0.0030669598385621817,0.07384819684142331,-0.14780942564775185,0.1416755059706275,-0.01254252703523761,5,842,18.035231113433838
T3,2025,asinh_luc,RICH,0.06056191687936591,0.13350597907557338,-0.2011098021087579,0.3222336358674897,0.012043372249368006,5,842,31.8083815574646
T3,2025,asinh_carbono_solo,LEAN,0.05356883671724102,0.08815733065651488,-0.11921953136952812,0.22635720480401017,-0.0048860887699394675,5,842,14.376117706298828
T3,2025,asinh_carbono_solo,FULL,0.051847450195441624,0.0881551511381295,-0.1209366460352922,0.22463154642617544,0.014213808898068957,5,842,18.982937335968018
T3,2025,asinh_carbono_solo,FULL2,0.010621812863849077,0.08148329907764405,-0.14908545332833326,0.17032907905603142,0.0007303315335355333,5,842,18.149954557418823
T3,2025,asinh_carbono_solo,RICH,0.0978362038996963,0.2285564648457222,-0.3501344671979192,0.5458068749973118,0.04062019266849598,5,842,31.35361361503601
T3,2025,log1p_queima,LEAN,0.18271710868355048,0.2814279601994305,-0.3688816933073332,0.7343159106744342,0.020399493187044773,5,842,14.549764156341553
T3,2025,log1p_queima,FULL,0.02446622938231392,0.23508584309884464,-0.4363020230914216,0.4852344818560494,0.07059263079709957,5,842,18.83535408973694
T3,2025,log1p_queima,FULL2,0.13352948660140712,0.29967899399714687,-0.45384134163300077,0.7209003148358151,0.11636891854236546,5,842,18.514706134796143
T3,2025,log1p_queima,RICH,-0.46694700579976445,0.5779408119731072,-1.5997109972670545,0.6658169856675256,0.11277529353223735,5,842,31.256447553634644
T3,2025,log_solos_manejados,LEAN,0.06734793902497402,0.03866541336895428,-0.008436271178176372,0.1431321492281244,0.01158154159637596,5,841,14.63047742843628
T3,2025,log_solos_manejados,FULL,0.04969573210259456,0.035448996124021616,-0.019784300300487813,0.11917576450567693,0.018327238282426373,5,841,22.650164365768433
T3,2025,log_solos_manejados,FULL2,0.041685329646619994,0.031873621914975094,-0.02078696930673119,0.10415762859997119,0.01710951943528847,5,841,18.614218950271606
T3,2025,log_solos_manejados,RICH,0.06907034265651905,0.06675520814063356,-0.06176986529912272,0.19991055061216084,0.009298106126059944,5,841,32.45389914512634
T3,2025,log1p_residuos_florestais,LEAN,0.22342751423729693,0.22575751584277412,-0.21905721681454035,0.6659122452891342,-0.004637523247318781,5,842,14.571549892425537
T3,2025,log1p_residuos_florestais,FULL,0.20259576686505673,0.2142786321560111,-0.21739035216072497,0.6225818858908384,0.026021077521768635,5,842,18.69993305206299
T3,2025,log1p_residuos_florestais,FULL2,0.09014149810417145,0.18540586143055562,-0.2732539902997176,0.45353698650806046,-0.004409727845123765,5,842,17.903500080108643
T3,2025,log1p_residuos_florestais,RICH,0.33521252728885736,0.7207799466932621,-1.0775161682299363,1.747941222807651,0.11091386021889689,5,842,31.284353494644165
T3,2026,asinh_luc,LEAN,0.013716975474744899,0.07565793802771013,-0.13457258305956696,0.16200653400905676,-0.01690009807027562,5,842,14.40493369102478
T3,2026,asinh_luc,FULL,0.017652229477263654,0.08455706000703159,-0.14807960813651824,0.18338406709104557,-0.01477041899551525,5,842,18.753026485443115
T3,2026,asinh_luc,FULL2,-0.0012060630758218643,0.09155108721933682,-0.18064619402572202,0.1782340678740783,-0.026717112370571228,5,842,18.225199699401855
T3,2026,asinh_luc,RICH,-0.01662981119448465,0.11644499074496402,-0.24486199305461412,0.21160237066564483,0.0022608697352897535,5,842,32.61505341529846
T3,2026,asinh_carbono_solo,LEAN,0.05207595406506933,0.07167851110227319,-0.08841392769538613,0.19256583582552478,-0.002450608849870694,5,842,14.016778230667114
T3,2026,asinh_carbono_solo,FULL,0.05289876559213992,0.08244516846477006,-0.10869376459880938,0.21449129578308923,-0.004467655419095057,5,842,20.654908418655396
T3,2026,asinh_carbono_solo,FULL2,0.0008569697300311651,0.1025918429439965,-0.20022304244020198,0.2019369819002643,-0.03006447981609219,5,842,21.16219997406006
T3,2026,asinh_carbono_solo,RICH,0.07263001747349893,0.10179945438213989,-0.12689691311549525,0.27215694806249313,-0.018202354538242496,5,842,32.37419939041138
