event_time,ATT,SE,CI_lo,CI_hi,zero_not_in_cband,outcome,spec,n_munis
2,0.0031521011289459716,0.001333724483981415,0.0005380491750431298,0.005766153082848813,*,log1p_share_cana_mapb,FULL2,842
3,0.003499976611599132,0.0015014927809687544,0.0005571048378534855,0.006442848385344779,*,log1p_share_cana_mapb,FULL2,842
4,0.0025655920943956465,0.0024228782428852304,-0.0021831620005850947,0.007314346189376387,,log1p_share_cana_mapb,FULL2,842
5,-6.247351459327984e-05,0.002590878706178104,-0.005140502467014097,0.005015555437827537,,log1p_share_cana_mapb,FULL2,842
-4,-1.508515399185342e-05,0.0003373577173094465,-0.0006762941298250133,0.0006461238218413065,,log1p_share_pastagem_mapb,FULL2,842
-3,-0.00017478282529717276,0.0003454574978942354,-0.0008518670793591957,0.0005023014287648501,,log1p_share_pastagem_mapb,FULL2,842
-2,-0.0001405970673937711,0.0004239599350456519,-0.0009715432709711896,0.0006903491361836473,,log1p_share_pastagem_mapb,FULL2,842
-1,-0.00043534368433860026,0.0005548173413307061,-0.0015227656913450501,0.0006520783226678496,,log1p_share_pastagem_mapb,FULL2,842
0,-0.000690541858686833,0.0006258743703575131,-0.001917233083434242,0.0005361493660605758,,log1p_share_pastagem_mapb,FULL2,842
1,-0.0010833857712862073,0.001183488138867809,-0.003402979899597451,0.0012362083570250366,,log1p_share_pastagem_mapb,FULL2,842
2,-0.0023445269284382494,0.0017020948605582977,-0.005680571553403239,0.0009915176965267394,,log1p_share_pastagem_mapb,FULL2,842
3,-0.0031192727294002687,0.0023507044632072047,-0.007726568815583951,0.0014880233567834134,,log1p_share_pastagem_mapb,FULL2,842
4,-0.005924653908521941,0.003183862949013124,-0.01216491062029915,0.0003156028032552686,,log1p_share_pastagem_mapb,FULL2,842
5,0.014906830903881691,0.0283973713359422,-0.040750994170175095,0.07056465597793848,,log1p_share_pastagem_mapb,FULL2,842
-4,-9.001040069331022e-05,0.00012671055491424046,-0.0003383585247863063,0.00015833772339968587,,log1p_share_vegetacao_nativa_mapb,FULL2,842
-3,-0.00011335274464304332,0.00010267748937508176,-0.00031459692584119765,8.7891436555111e-05,,log1p_share_vegetacao_nativa_mapb,FULL2,842
-2,-1.7726113909361906e-05,8.830355779657352e-05,-0.0001907979068973971,0.0001553456790786733,,log1p_share_vegetacao_nativa_mapb,FULL2,842
-1,-0.0002476265984632745,0.00013274737496234658,-0.0005078066724317079,1.2553475505158902e-05,,log1p_share_vegetacao_nativa_mapb,FULL2,842
0,-7.547228693676169e-05,0.00010397318767698039,-0.00027925599014146704,0.00012831141626794363,,log1p_share_vegetacao_nativa_mapb,FULL2,842
1,-0.0004965067254925163,0.00045975257318838967,-0.0013976052107413754,0.00040459175975634273,,log1p_share_vegetacao_nativa_mapb,FULL2,842
2,-0.00044655739540051614,0.0005984374913237897,-0.001619473325393645,0.0007263585345926127,,log1p_share_vegetacao_nativa_mapb,FULL2,842
3,-0.0005499837758499908,0.0007014185103961218,-0.0019247387943161231,0.0008247712426161416,,log1p_share_vegetacao_nativa_mapb,FULL2,842
4,3.218303099898608e-05,0.0005407485588081682,-0.0010276646689569631,0.0010920307309549352,,log1p_share_vegetacao_nativa_mapb,FULL2,842
5,-0.0009478801350947618,0.000626555536725535,-0.0021759064213909734,0.0002801461512014499,,log1p_share_vegetacao_nativa_mapb,FULL2,842
-4,-0.0025521852442346306,0.0038300762207435202,-0.010058996694935212,0.00495462620646595,,asinh_share_soja_mapb,FULL2,842
-3,0.0029606814872946727,0.003109041555050441,-0.0031329279870425954,0.00905429096163194,,asinh_share_soja_mapb,FULL2,842
-2,-0.001194837564143245,0.0011364386761956175,-0.003422216440125032,0.001032541311838542,,asinh_share_soja_mapb,FULL2,842
-1,0.0002975160509178467,0.0012784320172185555,-0.0022081646595134125,0.0028031967613491057,,asinh_share_soja_mapb,FULL2,842
0,-0.001500406726738003,0.002069672711994763,-0.0055568907020330785,0.002556077248557072,,asinh_share_soja_mapb,FULL2,842
1,-0.00027197915134875275,0.0018252135841469877,-0.003849332040370116,0.0033053737376726104,,asinh_share_soja_mapb,FULL2,842
2,-0.00019086378907179666,0.0016103568764495757,-0.0033471052691693825,0.0029653776910257895,,asinh_share_soja_mapb,FULL2,842
3,-0.0006941375573213896,0.0017096592024074147,-0.004045008019877397,0.0026567329052346175,,asinh_share_soja_mapb,FULL2,842
4,0.0006569063566876544,0.002623409206942858,-0.004484881205631132,0.005798693919006442,,asinh_share_soja_mapb,FULL2,842
5,-0.00021775734025994637,0.011611764352548652,-0.022976397268221364,0.02254088258770147,,asinh_share_soja_mapb,FULL2,842
-4,-9.347197244235669e-05,0.0001454803468266334,-0.0003786082126809541,0.00019166426779624072,,asinh_share_silvicultura_mapb,FULL2,842
-3,-8.508024160580395e-05,0.0001182691887426306,-0.00031688359202212995,0.00014672310881052203,,asinh_share_silvicultura_mapb,FULL2,842
-2,3.5606836854235334e-05,5.25579400813931e-05,-6.74048328069093e-05,0.00013861850651537995,,asinh_share_silvicultura_mapb,FULL2,842
-1,1.4403243860105675e-07,8.612803857728981e-05,-0.00016866382123196337,0.00016895188610916548,,asinh_share_silvicultura_mapb,FULL2,842
0,-0.0002190381756439136,0.00013006728997725576,-0.0004739653795660624,3.588902827823522e-05,,asinh_share_silvicultura_mapb,FULL2,842
1,-0.00025594775269245016,0.0001637689396710047,-0.0005769289762339322,6.503347084903195e-05,,asinh_share_silvicultura_mapb,FULL2,842
2,-0.0002761997115513706,0.00017197613480343516,-0.0006132667419665089,6.086731886376768e-05,,asinh_share_silvicultura_mapb,FULL2,842
3,-0.00034569845304689153,0.00020391633801977794,-0.000745367131424952,5.397022533116895e-05,,asinh_share_silvicultura_mapb,FULL2,842
4,-0.00047874524482828496,0.0003256081868924665,-0.001116925564208906,0.0001594350745523363,,asinh_share_silvicultura_mapb,FULL2,842
5,-0.00031942864317845,0.000867594459193575,-0.002019882536384363,0.0013810252500274626,,asinh_share_silvicultura_mapb,FULL2,842
-4,-6.355375489991177e-05,4.7175267029531355e-05,-0.00015601557923885308,2.8908069439029547e-05,,asinh_share_urbano_infra_mapb,FULL2,842
-3,-4.352257508943585e-05,5.149538686761179e-05,-0.00014445167871991185,5.740652854104013e-05,,asinh_share_urbano_infra_mapb,FULL2,842
-2,-5.042941413115348e-05,5.294621603262588e-05,-0.0001542020906727774,5.334326241047044e-05,,asinh_share_urbano_infra_mapb,FULL2,842
-1,-0.00015483968467282921,8.709925368063294e-05,-0.0003255510849671875,1.5871715621529087e-05,,asinh_share_urbano_infra_mapb,FULL2,842
0,-0.0001342857534641007,9.77631790976983e-05,-0.00032589806350972843,5.7326556581527e-05,,asinh_share_urbano_infra_mapb,FULL2,842
1,-0.00025189772501035346,0.00015462256776606386,-0.0005549523890289426,5.11569390082356e-05,,asinh_share_urbano_infra_mapb,FULL2,842
2,-0.00036759568112618363,0.00019029722325263377,-0.0007405713850593239,5.38002280695666e-06,,asinh_share_urbano_infra_mapb,FULL2,842
3,-0.00041895589064406776,0.00022305561834764465,-0.0008561368691547629,1.822508786662741e-05,,asinh_share_urbano_infra_mapb,FULL2,842
4,-0.0005277559160346883,0.0002877570635159421,-0.0010917493968229395,3.623756475356298e-05,,asinh_share_urbano_infra_mapb,FULL2,842
5,-0.000611884865510357,0.0004531207868335603,-0.0014999852883505862,0.00027621555732987226,,asinh_share_urbano_infra_mapb,FULL2,842
