geocode,delta_queima_ar6,delta_cana_dir_ar6,delta_fert_n_ar6,delta_calagem_ar6,delta_res_outros_ar6,balanco_so_robustos_ar6,balanco_liquido_total_ar6
4118105,293.6187866508279,2373.001880881239,7578.061674598117,90.74112430692097,-72.65249707872292,9969.152182707554,10262.770969358382
4122602,281.1141337612989,2182.4291260071145,6907.0984455695225,95.73627703700609,-82.5781415416952,9102.685707071947,9383.799840833246
4124509,220.76602038032198,1749.8113656349904,5621.63610413859,74.41787870447244,-132.34446024280555,7313.520888235247,7534.286908615569
4124608,199.03380031440096,1567.2850129336423,5047.4462749962395,82.85847897449956,-121.31699600715521,6576.272770897225,6775.306571211627
4125803,157.72318802565746,1187.1715245437003,3885.8695707626903,143.50540958800343,-295.67151482579885,4920.874990068595,5078.598178094252
4126801,380.09922495668366,2819.43361661834,8794.511994613084,114.75736888542471,-141.89182237280923,11586.81115774404,11966.910382700722
4127304,170.32033515828795,1355.5703570131298,4373.3477745285245,63.12136887808685,-235.3085218687892,5556.730978550952,5727.05131370924
5000856,87.94356279333509,8425.273226483223,9824.332892910947,397.65765459984544,-323.37395578753836,18323.88981820648,18411.833380999815
5001003,34.83907257605382,3073.809702845343,3551.419582092796,213.90032742707768,-690.6408975418902,6148.488714823327,6183.327787399381
5002001,10.199704493819375,1157.4560616104836,1553.5649600850381,457.46043476148384,-977.4440517167578,2191.0374047402483,2201.2371092340672
5002407,36.471797347016185,3477.3043820922408,5025.938324874708,2193.935619229054,-3317.8466431554293,7379.331683040573,7415.803480387589
5003256,95.76635542637656,8283.290310948092,10533.803713356818,2057.2921121186296,-3468.190370752814,17406.195765670727,17501.9621210971
5003801,3.85721547789087,335.7774072673884,630.5697323908249,243.09936927206377,-370.5623733663571,838.8841355639199,842.7413510418107
5004700,80.70889030198222,8388.106917107347,9923.982984240245,643.0710107548484,-891.2999527453497,18063.86095935709,18144.569849659074
5005707,3.9520783902308247,743.8789047167236,1636.334691575094,1840.0277204269582,-3055.399191616417,1164.8421251023583,1168.79420349259
