Cidade,uf,ano,solos_pipeline,solos_cana_residuo,solos_cana_subproduto,solos_cana_atribuivel,share_cana
Jaguariúna (SP),SP,2024,5603.072351409707,1100.6707900513638,815.7861864910842,1916.456976542448,0.3420368070136157
Jales (SP),SP,2012,6611.639706910088,928.9994062750026,746.8777349890946,1675.8771412640972,0.2534737547045359
Jales (SP),SP,2013,7195.992349623753,1153.2840377058324,939.422766529283,2092.706804235115,0.2908155960372211
Jales (SP),SP,2014,8013.508255091531,1423.3242203359266,1153.4260969476097,2576.7503172835363,0.32155084081261787
Jales (SP),SP,2015,9352.772822749863,2058.8491221763866,1506.624685068706,3565.4738072450928,0.3812210426593883
Jales (SP),SP,2016,10565.71419485335,2058.8491221763866,1421.5492412032352,3480.3983633796215,0.32940493176267754
Jales (SP),SP,2017,10799.462761317925,2082.6543297361286,1405.7071823715273,3488.361512107656,0.3230125043444244
Jales (SP),SP,2018,12474.371545980877,2487.74680962551,1811.5333936196757,4299.2802032451855,0.3446490420297263
Jales (SP),SP,2019,12702.948576297544,2615.381211353471,1925.2256388307167,4540.606850184187,0.357445109921685
Jales (SP),SP,2020,13606.060682209893,2642.8487585377884,1973.4110465863118,4616.2598051241,0.3392796719744108
Jales (SP),SP,2021,13797.591830094487,2609.0425466186284,1729.084451353731,4338.126997972359,0.31441189530699803
Jales (SP),SP,2022,13184.209741646031,2657.6389762524204,1702.4624759720357,4360.101452224456,0.33070631745578577
Jales (SP),SP,2023,12971.622582937323,2657.6389762524204,1955.3889401518725,4613.027916404293,0.3556245864316312
Jales (SP),SP,2024,12234.543691969178,2447.213857348042,1813.8059792800811,4261.019836628123,0.3482777898308606
Jambeiro (SP),SP,2012,959.7187114857825,0.0,0.0,0.0,0.0
Jambeiro (SP),SP,2013,946.7948579347884,0.0,0.0,0.0,0.0
Jambeiro (SP),SP,2014,947.2879828918218,0.0,0.0,0.0,0.0
Jambeiro (SP),SP,2015,917.8998022895049,0.0,0.0,0.0,0.0
Jambeiro (SP),SP,2016,910.7654388991343,6.091269592237831,4.205766985808387,10.297036578046217,0.011305914935125899
Jambeiro (SP),SP,2017,923.2394553032299,0.0,0.0,0.0,0.0
Jambeiro (SP),SP,2018,920.4375661023239,0.0,0.0,0.0,0.0
Jambeiro (SP),SP,2019,922.0085491772658,0.0,0.0,0.0,0.0
Jambeiro (SP),SP,2020,922.3834880340149,0.0,0.0,0.0,0.0
Jambeiro (SP),SP,2021,924.2893123788739,0.0,0.0,0.0,0.0
Jambeiro (SP),SP,2022,917.585792909133,0.0,0.0,0.0,0.0
Jambeiro (SP),SP,2023,866.1423438065742,0.6327711848220049,0.4655687952742552,1.09833998009626,0.0012680825362598137
Jambeiro (SP),SP,2024,858.7777970906203,0.0,0.0,0.0,0.0
Jampruca (MG),MG,2012,3292.767351731898,1.1198756108550902,0.8071962101557522,1.9270718210108424,0.0005852438436008119
Jampruca (MG),MG,2013,3226.888124445924,1.1170458498127502,0.9524950676182055,2.0695409174309556,0.0006413426303046401
Jampruca (MG),MG,2014,3227.514960446798,0.0,0.0,0.0,0.0
Jampruca (MG),MG,2015,4833.555637271827,138.94841945632987,114.30265993993743,253.2510793962673,0.05239436522534954
Jampruca (MG),MG,2016,3292.5193166756694,0.0,0.0,0.0,0.0
Jampruca (MG),MG,2017,3144.3257109054975,2.6111209417613246,2.115427063472659,4.726548005233983,0.0015031992356392494
Jampruca (MG),MG,2018,3094.5204747306134,2.1727967670638724,1.750196383686766,3.9229931507506386,0.0012677224735739214
Jampruca (MG),MG,2019,3033.9576683395376,2.3019698424036665,2.0322000448477984,4.3341698872514645,0.0014285531840078451
Jampruca (MG),MG,2020,3024.7492073818435,3.1667514343118857,2.6923324776827027,5.859083911994588,0.0019370478377829159
Jampruca (MG),MG,2021,3023.8694932456165,2.568167074219169,2.130762571246525,4.698929645465694,0.001553945914650629
Jampruca (MG),MG,2022,3015.0961033524254,0.0,0.0,0.0,0.0
Jampruca (MG),MG,2023,3003.7915521672708,0.0,0.0,0.0,0.0
Jampruca (MG),MG,2024,3015.404308492225,0.0,0.0,0.0,0.0
Janaúba (MG),MG,2012,13482.330138544507,5.375402932104436,3.874541808747612,9.249944740852047,0.0006860790861668242
Janaúba (MG),MG,2013,12381.415498155127,3.574546719400799,3.047984216378257,6.622530935779056,0.0005348767220327785
Janaúba (MG),MG,2014,12479.36596955286,3.036207035279119,2.502965564047647,5.539172599326766,0.00044386650834996196
Janaúba (MG),MG,2015,12354.082284016453,0.626834974990962,0.5156510974734017,1.1424860724643637,9.247842504193914e-05
Janaúba (MG),MG,2016,12493.052454210094,4.144020408277122,3.28561965748219,7.429640065759312,0.0005947017426678266
Janaúba (MG),MG,2017,12605.024927584082,9.302779063765044,7.536744193748745,16.83952325751379,0.0013359373229531015
Janaúba (MG),MG,2018,12141.555965393674,6.677375430488974,5.3786523010861576,12.056027731575131,0.0009929557435585424
Janaúba (MG),MG,2019,12288.217303941577,2.6541559158534507,2.343113133749125,4.997269049602576,0.00040667160467610286
