Cidade,uf,corr_pearson,corr_spearman
Capim Branco (MG),MG,0.9986587310561066,0.683349073208448
Capinópolis (MG),MG,0.9626310689026892,0.8787878787878788
Capitão Andrade (MG),MG,0.8889192675446682,0.09090909090909091
Capitão Enéas (MG),MG,0.7938894216047107,0.7333333333333333
Capitão Leônidas Marques (PR),PR,-0.1421422309384675,-0.09090909090909091
Capitólio (MG),MG,0.38182650587656664,0.3696969696969697
Capivari (SP),SP,0.6282721939353184,0.5272727272727272
Caputira (MG),MG,-0.27148629562951104,-0.2857156055296303
Caracol (MS),MS,0.892388048568618,0.9848069807617046
Caranaíba (MG),MG,0.6194024559532401,0.21212121212121213
Carandaí (MG),MG,-0.337829936301235,-0.45454545454545453
Carangola (MG),MG,0.6092881594848901,0.21884599572482324
Caratinga (MG),MG,0.7597095144310517,0.7090909090909091
Caraí (MG),MG,0.7744821362025871,0.07878787878787878
Carbonita (MG),MG,0.8292767107136694,0.9151515151515152
Cardoso (SP),SP,0.8709706851597622,0.8787878787878788
Careaçu (MG),MG,-0.2673108624501445,-0.7212121212121212
Carlinda (MT),MT,-0.2989483561881626,-0.4061811972299616
Carlos Chagas (MG),MG,0.05634901962635458,0.11515151515151516
Carlópolis (PR),PR,-0.18401279613313698,-0.23636363636363636
Carmo da Cachoeira (MG),MG,0.4077801732626721,0.6440645614651441
Carmo da Mata (MG),MG,0.6948180371838321,0.9393939393939394
Carmo de Minas (MG),MG,-0.054292334436870184,-0.08128970193249391
Carmo do Cajuru (MG),MG,0.921792720936891,0.11515151515151516
Carmo do Paranaíba (MG),MG,-0.5683597573367914,-0.7169281790988649
Carmo do Rio Claro (MG),MG,0.30956710334497095,0.38181818181818183
Carmo do Rio Verde (GO),GO,0.8342814438004066,0.7575757575757576
Carmésia (MG),MG,0.9948937778059331,0.7333333333333333
Carmópolis de Minas (MG),MG,0.7563702290267458,0.696969696969697
Carneirinho (MG),MG,0.9147742098549646,0.7575757575757576
Carrancas (MG),MG,-0.5502311091439582,-0.2
Carvalhos (MG),MG,-0.6118323176981874,-0.4719509741997222
Carvalhópolis (MG),MG,-0.8583369187875398,-0.8691745052782042
Casa Branca (SP),SP,0.13365304374762976,0.1393939393939394
Cascalho Rico (MG),MG,0.24849727608494038,0.4680872686336497
Cascavel (PR),PR,-0.4075527300214694,-0.503030303030303
Cassilândia (MS),MS,0.4336893546902222,0.4061811972299616
Castelândia (GO),GO,0.830857056102684,0.6
Castilho (SP),SP,0.9628887258506742,0.9636363636363636
Cataguases (MG),MG,0.980028424207162,0.9442111532158908
Catalão (GO),GO,0.1101578961853055,0.22424242424242424
Catanduva (SP),SP,0.7908638057701871,0.9393939393939394
Catanduvas (PR),PR,0.7059990482698764,0.7090909090909091
Catas Altas (MG),MG,0.9349435251325997,0.7333333333333333
Catas Altas da Noruega (MG),MG,0.85806637944459,0.5515151515151515
Catiguá (SP),SP,0.7978371386968289,0.8909090909090909
Catuji (MG),MG,0.34584439226954844,0.17575757575757575
Caturaí (GO),GO,0.9268675353836524,0.937436866561092
Catuti (MG),MG,0.6801973422052386,0.8504153432937824
Cavalcante (GO),GO,-0.1780906710405423,-0.21624335800309785
Caxambu (MG),MG,0.977607474803241,0.779199761307608
Caçapava (SP),SP,0.8422971781356418,0.5757575757575758
Caçu (GO),GO,0.27245599337496496,0.3696969696969697
